Block,Price Oracle 0,Price Oracle 1,Price Scale 0,Price Scale 1,Fee,VP,A,Gamma,Fee_Gamma,D,lp_price,xcp_profit,xcp_profit_a
8500527,42817819444156480966196,2375910387473001104535,42858537436595866705768,2377596226479495561373,118231772,1003811789157572024,2700000,36000000000000,7200000000000,1233575170616892555394773,1406345450333031620175,1007606688391649571,1007605057934272765
8501054,42813623701902431281507,2375731744292377511158,42843835788094346645956,2376987611957911985807,117133609,1003811253745019815,2700000,36000000000000,7200000000000,1233328193306391060622562,1405801990628129817590,1007606823633320074,1007605057934272765
8501581,42794731782225769996524,2374944524777092194235,42820606791442985076289,2376020994707370755924,115131681,1003809977304075474,2700000,36000000000000,7200000000000,1232946727271757309287097,1405696720590279697089,1007606076090701761,1007606056321034185
8502108,42789862093611503564347,2374741955080737302831,42820606791442985076289,2376020994707370755924,115131681,1003809977304075474,2700000,36000000000000,7200000000000,1232946727271757309287097,1405696720590279697089,1007606076090701761,1007606056321034185
8502635,42788269828026685110708,2374675678734336011980,42814320151933115686462,2375759458728780871614,114581784,1003809707616590785,2700000,36000000000000,7200000000000,1232840817860119138833772,1405252418589320462228,1007606077234253985,1007606056321034185
8503162,42785323152248760272761,2374524234837340622417,42808944218145785671915,2375535795344446831141,118678350,1003813154136025550,2700000,36000000000000,7200000000000,1232754760402578348258176,1405224034286947213231,1007609788539417344,1007606056321034185
8503689,42759613095993008347413,2373248873773725398387,42784059808530600730857,2374398498851863823976,116688889,1003811192303441393,2700000,36000000000000,7200000000000,1232327729438993908326896,1404791455621512709312,1007608021930236391,1007608000055587727
8504216,42743969440145588044181,2372509670857734848995,42755509642760110022983,2373053455399448616119,114128002,1003810033841853513,2700000,36000000000000,7200000000000,1231823232143176919764524,1404426782224641178691,1007608105737049093,1007608098122574939
8504743,42729899308863598544272,2371846813859882756060,42755509642760110022983,2373053455399448616119,114128002,1003810033841853513,2700000,36000000000000,7200000000000,1231823232143176919764524,1404426782224641178691,1007608105737049093,1007608098122574939
8505270,42727463423130103442336,2371732057012767751894,42755509642760110022983,2373053455399448616119,114128002,1003810033841853513,2700000,36000000000000,7200000000000,1231823232143176919764524,1404426782224641178691,1007608105737049093,1007608098122574939
8505797,42705892997313721495442,2370492188807660759267,42738408306690013443336,2372241599470292425842,119280988,1003814117973355435,2700000,36000000000000,7200000000000,1231523513930421305903800,1403970435356943798153,1007613029279610472,1007608098122574939
8506324,42691349412199779148298,2369686728463431689609,42709906262745232632299,2370691836295797314862,116915703,1003811626912677259,2700000,36000000000000,7200000000000,1230989520066177164940332,1403374017457655410751,1007610696621878076,1007610676730444261
8506851,42679280334187416063564,2369036067346147603307,42709906262745232632299,2370691836295797314862,116915703,1003811626912677259,2700000,36000000000000,7200000000000,1230989520066177164940332,1403374017457655410751,1007610696621878076,1007610676730444261
8507378,42675998721835101704271,2368862814273421963839,42703731539846552864939,2370358011885834650463,116210821,1003811440932335912,2700000,36000000000000,7200000000000,1230872186580870444822394,1402925664129351885560,1007610813105709308,1007610676730444261
8507905,42664845960877513985656,2368262025730832582733,42687179133082962932408,2369465815786486300328,114593277,1003810701848544540,2700000,36000000000000,7200000000000,1230564137990680754428339,1402853348503214143562,1007610806300577804,1007610793397399624
8508432,42661023075776789322504,2368055966147736735680,42687179133082962932408,2369465815786486300328,114593277,1003810701848544540,2700000,36000000000000,7200000000000,1230564137990680754428339,1402853348503214143562,1007610806300577804,1007610793397399624
